run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct
01-named-form-no-skill-pre	pre	no-skill	named-form	1	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	23158	0	41380	36096	5284	690	38	2	2	0	2	1799	1799	false	false	false	false	false	false	false	false	false	false	true	true
02-named-form-no-skill-post	post	no-skill	named-form	2	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	21253	0	41179	33024	8155	697	48	2	2	0	2	1799	1799	false	false	false	false	false	false	false	false	false	false	true	true
03-semantic-form-no-skill-pre	pre	no-skill	semantic-form	3	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	40817	0	70908	63232	7676	1308	366	4	4	0	4	4045	4045	false	false	false	false	false	true	false	false	false	false	true	true
04-semantic-form-no-skill-post	post	no-skill	semantic-form	4	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	28370	0	56848	50176	6672	918	91	3	3	0	3	4679	4679	false	false	false	false	false	true	false	false	false	false	true	true
05-structural-find-no-skill-pre	pre	no-skill	structural-find	5	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	48121	0	85230	73216	12014	1748	998	5	5	0	4	1233	1305	false	false	false	false	false	true	false	false	false	false	true	true
06-structural-find-no-skill-post	post	no-skill	structural-find	6	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	41047	0	86850	77312	9538	1053	354	5	5	3	1	538	4288	false	false	false	false	true	false	false	false	false	false	false	true
07-case-edit-no-skill-pre	pre	no-skill	case-edit	7	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	90fd92cf29495119f7d1b2e7df52816b0ccef1c755540e06a987093a8b449884	39519	0	91091	80384	10707	1329	491	4	6	0	3	7999	7999	false	false	false	false	false	false	false	false	false	false	false	false
08-case-edit-no-skill-post	post	no-skill	case-edit	8	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	52769	0	131889	114688	17201	1964	866	6	9	0	6	9069	9069	false	false	false	false	false	false	false	false	false	false	true	true
09-named-form-matched-skill-pre	pre	matched-skill	named-form	9	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	26581	0	64361	55296	9065	892	102	3	3	1	2	6775	12929	true	false	false	true	false	false	false	false	false	false	true	true
10-named-form-matched-skill-post	post	matched-skill	named-form	10	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	067e91900c0ea81cbca57651418de0d6750687141c2214bacca9586008492f82	24751	0	45917	38144	7773	794	102	2	2	1	1	1695	9741	true	true	false	false	false	false	false	false	false	false	true	true
