run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	file_changes	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	q_used	xray_used	partition_all_used	edit_used	expr_used	first_source_edit	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct
01-r01-named-form-no-skill-native	native	no-skill	named-form	1	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	26460	0	41044	36096	4948	675	84	2	0	2	0	2	2120	2120	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
03-r01-semantic-form-no-skill-native	native	no-skill	semantic-form	3	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	29188	0	57422	50176	7246	895	112	3	0	3	0	3	4844	4844	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true
07-r01-case-edit-no-skill-native	native	no-skill	case-edit	7	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	90fd92cf29495119f7d1b2e7df52816b0ccef1c755540e06a987093a8b449884	36978	0	74238	61184	13054	1032	378	3	1	5	0	3	7918	7918	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false
11-r02-semantic-form-no-skill-native	native	no-skill	semantic-form	11	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	22774	0	41649	33024	8625	785	137	2	0	2	0	2	2677	2677	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
05-r01-structural-find-no-skill-native	native	no-skill	structural-find	5	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	54291	0	56768	47104	9664	1661	1067	3	0	5	0	3	918	918	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true
09-r02-named-form-no-skill-native	native	no-skill	named-form	9	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	29513	0	41666	36096	5570	938	348	2	0	2	0	2	2648	2648	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
17-r03-named-form-no-skill-native	native	no-skill	named-form	17	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	21438	0	41371	33024	8347	664	76	2	0	2	0	2	2524	2524	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
19-r03-semantic-form-no-skill-native	native	no-skill	semantic-form	19	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	27655	0	56712	50176	6536	895	152	3	0	3	0	3	3982	3982	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true
15-r02-case-edit-no-skill-native	native	no-skill	case-edit	15	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	90fd92cf29495119f7d1b2e7df52816b0ccef1c755540e06a987093a8b449884	33816	0	61935	48128	13807	1022	552	2	1	3	0	2	7708	7708	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
13-r02-structural-find-no-skill-native	native	no-skill	structural-find	13	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	49775	0	70268	63232	7036	1834	1176	4	0	6	0	4	662	662	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true
25-r04-named-form-no-skill-native	native	no-skill	named-form	25	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	20479	0	41386	36096	5290	676	82	2	0	2	0	2	1599	1599	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
