tag	condition	replicate	wall_ms	exit_code	prompt_bytes	prompt_sha256_16	input-tokens	cached-input-tokens	output-tokens	reasoning-output-tokens	decoded-tokens	turn-started-ms	message-chars	loadavg
r01-A	A	1	4979	0	262140	95cbe898e0c35d68	69388	9984	5	0	5	341.0	2	1.29 1.28 1.19
r01-C	C	1	3897	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	299.9	2	1.29 1.28 1.19
r02-A	A	2	5199	0	262140	8c892d3646482f86	69240	12032	5	0	5	317.7	2	1.26 1.27 1.18
r02-C	C	2	3964	0	53	ac06a64cbe87a9b9	14405	14080	5	0	5	323.2	2	1.24 1.27 1.18
r03-A	A	3	4398	0	262140	54717c857439b4b0	69226	12032	5	0	5	271.8	2	1.22 1.27 1.18
r03-C	C	3	7780	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	304.6	2	1.03 1.22 1.17
r04-A	A	4	4980	0	262140	48f555c6221fef37	69262	14080	5	0	5	310.4	2	1.03 1.22 1.17
r04-C	C	4	3705	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	264.7	2	1.03 1.22 1.17
r05-A	A	5	4712	0	262140	b86eec2b6713f325	69430	9984	5	0	5	287.7	2	1.03 1.21 1.17
r05-C	C	5	3825	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	327.1	2	1.51 1.31 1.20
