run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	file_changes	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	q_used	xray_used	partition_all_used	edit_used	expr_used	first_source_edit	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct
02-r01-named-form-matched-skill-post	post	matched-skill	named-form	2	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	20401	0	43870	37120	6750	690	43	2	0	2	1	1	1461	5511	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
05-r01-semantic-form-matched-skill-post	post	matched-skill	semantic-form	5	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	28288	0	44017	37120	6897	762	66	2	0	2	1	1	1531	5581	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
01-r01-named-form-matched-skill-pre	pre	matched-skill	named-form	1	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	32469	0	82392	68352	14040	1077	203	4	0	4	2	2	6720	13883	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
04-r01-semantic-form-matched-skill-pre	pre	matched-skill	semantic-form	4	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	33092	0	81455	70400	11055	1039	153	4	0	4	1	3	6774	11736	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	true
08-r01-structural-find-matched-skill-post	post	matched-skill	structural-find	8	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	20708	0	43867	37120	6747	673	261	2	0	2	1	1	596	4646	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
07-r01-structural-find-matched-skill-pre	pre	matched-skill	structural-find	7	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	40089	0	92554	77312	15242	1132	364	5	0	5	2	3	788	6153	true	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	true
10-r01-case-edit-matched-skill-pre	pre	matched-skill	case-edit	10	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	50642	0	185783	163840	21943	1746	554	8	0	12	5	6	33696	38752	true	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true	true	true
11-r01-case-edit-matched-skill-post	post	matched-skill	case-edit	11	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	57020	0	103605	85504	18101	2036	882	8	0	8	4	6	17681	22355	true	true	false	false	false	false	false	true	false	true	true	true	true	true	true	true	true	true
13-r02-named-form-matched-skill-post	post	matched-skill	named-form	13	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	21380	0	44032	37120	6912	725	68	2	0	2	1	1	1461	5511	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
14-r02-named-form-matched-skill-pre	pre	matched-skill	named-form	14	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	26881	0	63607	54272	9335	844	106	3	0	3	1	2	6720	11682	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	true
16-r02-semantic-form-matched-skill-post	post	matched-skill	semantic-form	16	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	25486	0	44155	37120	7035	806	74	2	0	2	1	1	1531	5581	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
19-r02-structural-find-matched-skill-post	post	matched-skill	structural-find	19	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	22798	0	43682	33024	10658	644	248	2	0	2	1	1	596	4646	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
17-r02-semantic-form-matched-skill-pre	pre	matched-skill	semantic-form	17	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	34058	0	82261	67328	14933	1088	239	4	0	5	2	3	8921	13883	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
20-r02-structural-find-matched-skill-pre	pre	matched-skill	structural-find	20	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	33511	0	59872	52224	7648	785	245	3	0	3	2	1	538	5903	true	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true
25-r03-named-form-matched-skill-pre	pre	matched-skill	named-form	25	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	26565	0	80392	69376	11016	937	134	4	0	4	2	2	6720	13883	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
26-r03-named-form-matched-skill-post	post	matched-skill	named-form	26	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	24037	0	44108	34048	10060	728	50	2	0	2	1	1	1461	5511	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
22-r02-case-edit-matched-skill-post	post	matched-skill	case-edit	22	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	49765	0	116088	102656	13432	1819	876	7	0	8	5	5	10119	14793	true	true	false	false	false	false	false	false	false	true	true	false	true	true	true	true	true	true
23-r02-case-edit-matched-skill-pre	pre	matched-skill	case-edit	23	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	56362	0	223756	198400	25356	1780	487	8	1	14	6	6	48439	53495	true	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true	true	true
28-r03-semantic-form-matched-skill-pre	pre	matched-skill	semantic-form	28	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	49704	0	83350	71424	11926	1193	263	5	0	5	2	3	6845	14008	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
29-r03-semantic-form-matched-skill-post	post	matched-skill	semantic-form	29	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	28481	0	43955	37120	6835	841	109	2	0	2	1	1	1531	5581	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
32-r03-structural-find-matched-skill-post	post	matched-skill	structural-find	32	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	29430	0	43662	37120	6542	799	265	2	0	2	1	1	596	4646	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
31-r03-structural-find-matched-skill-pre	pre	matched-skill	structural-find	31	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	38407	0	102396	80640	21756	989	311	4	0	4	3	2	24524	29889	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
37-r04-named-form-matched-skill-post	post	matched-skill	named-form	37	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	25147	0	43909	34048	9861	732	57	2	0	2	1	1	437	4487	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
38-r04-named-form-matched-skill-pre	pre	matched-skill	named-form	38	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	30703	0	63574	54272	9302	793	82	3	0	3	1	2	6720	11682	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	true
35-r03-case-edit-matched-skill-post	post	matched-skill	case-edit	35	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	46731	0	116140	94464	21676	1625	620	7	0	8	5	5	10197	14871	true	false	true	false	false	false	false	false	false	true	true	false	true	true	true	true	true	true
34-r03-case-edit-matched-skill-pre	pre	matched-skill	case-edit	34	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	59706	0	166804	142592	24212	1953	754	8	0	14	6	7	41189	46151	true	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true	true	true
44-r04-structural-find-matched-skill-pre	pre	matched-skill	structural-find	44	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	23567	0	59687	48128	11559	603	119	3	0	3	2	1	538	5903	true	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	true
43-r04-structural-find-matched-skill-post	post	matched-skill	structural-find	43	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	d33b6c01e1193b58ca2f0a3d9ca55ae2ab1285259116179208603e3cc4e1fad4	25646	0	43607	37120	6487	657	210	2	0	2	1	1	596	4646	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
40-r04-semantic-form-matched-skill-post	post	matched-skill	semantic-form	40	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	28480	0	44015	37120	6895	789	102	2	0	2	1	1	1531	5581	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
41-r04-semantic-form-matched-skill-pre	pre	matched-skill	semantic-form	41	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44ec509bd400f4555ffc63580f884a603b0f054a83edbd98bf31f5e4b1810a57	44829	0	98518	79360	19158	1483	429	5	0	6	3	3	8921	14113	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	true	true
46-r04-case-edit-matched-skill-post	post	matched-skill	case-edit	46	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	55899	0	138345	121856	16489	2164	906	9	0	10	6	7	10886	15560	true	true	false	false	false	false	false	true	false	true	true	false	true	true	true	true	true	true
47-r04-case-edit-matched-skill-pre	pre	matched-skill	case-edit	47	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	50256	0	157260	122112	35148	1636	498	8	0	9	6	6	33507	38563	true	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true	true	true
