run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors	fixture
I-01-mission-cli-stale__N__gpt-5.6-sol	I-01-mission-cli-stale	I	N	gpt-5.6-sol	pass	red	no	patch	patch	171.87	0	yes	17	0	1	f121c82fbb18	2026-09-12T03:46:34Z	0	18	GREEN: I-01-mission-cli-stale: intent met, and every other byte of src/clj_surgeon/mission_cli.clj is where it was	completed	0	false
I-01-mission-cli-stale__N__gpt-6-astra	I-01-mission-cli-stale	I	N	gpt-6-astra	fail	red	no	patch	patch	142.13	0	yes	14	0	1	a9e53b43dbc6	2026-09-12T03:41:53Z	0	17	RED: 4 failed assertion(s)	completed	0	false
I-02-mission-cli-admitted-profiles__N__gpt-5.6-sol	I-02-mission-cli-admitted-profiles	I	N	gpt-5.6-sol	pass	red	no	patch	patch	195.12	0	yes	20	0	1	20f72b8e68cc	2026-09-12T03:43:07Z	0	22	GREEN: I-02-mission-cli-admitted-profiles: intent met, and every other byte of src/clj_surgeon/mission_cli.clj is where it was	completed	0	false
I-02-mission-cli-admitted-profiles__N__gpt-6-astra	I-02-mission-cli-admitted-profiles	I	N	gpt-6-astra	fail	red	no	patch	patch	211.72	0	yes	25	0	1	dc6934bc35c4	2026-09-12T03:35:21Z	0	15	RED: 4 failed assertion(s)	completed	0	false
I-03-heap-sample-retention__N__gpt-5.6-sol	I-03-heap-sample-retention	I	N	gpt-5.6-sol	pass	red	no	patch	patch	264.50	0	yes	17	0	1	314bc32d629b	2026-09-12T03:24:22Z	0	24	GREEN: I-03-heap-sample-retention: intent met, and every other byte of test/clj_surgeon/memory/heap.clj is where it was	completed	0	false
I-03-heap-sample-retention__N__gpt-6-astra	I-03-heap-sample-retention	I	N	gpt-6-astra	fail	red	no	patch	patch	114.15	0	yes	13	0	1	e7297133e52d	2026-09-12T03:23:53Z	0	14	RED: 9 failed assertion(s)	completed	0	false
I-04-mission-display-decision-view__N__gpt-5.6-sol	I-04-mission-display-decision-view	I	N	gpt-5.6-sol	pass	red	no	patch	patch	194.71	0	yes	20	0	1	b7e72633fbf7	2026-09-12T03:31:53Z	0	19	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0	false
I-04-mission-display-decision-view__N__gpt-6-astra	I-04-mission-display-decision-view	I	N	gpt-6-astra	fail	red	no	none	none	2.38	0	no	0	0	0	7a9b9f751d16	2026-09-12T03:44:25Z	0	0	RED: 3 failed assertion(s)	caller-error	0	false
R-01-core-discovery-require-edn__N__gpt-5.6-sol	R-01-core-discovery-require-edn	R	N	gpt-5.6-sol	pass	red	no	patch	patch	76.96	0	yes	1	0	1	626ab94b79ec	2026-09-12T03:28:54Z	0	9	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0	false
R-01-core-discovery-require-edn__N__gpt-6-astra	R-01-core-discovery-require-edn	R	N	gpt-6-astra	pass	red	no	patch	patch	102.48	0	yes	1	0	1	626ab94b79ec	2026-09-12T03:29:17Z	0	13	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0	false
R-02-recovery-require-measured__N__gpt-5.6-sol	R-02-recovery-require-measured	R	N	gpt-5.6-sol	pass	red	no	patch	patch	91.28	0	yes	1	0	1	6b222692a4b8	2026-09-12T03:33:39Z	0	12	GREEN: R-02-recovery-require-measured: intent met, and every other byte of test/clj_surgeon/recovery_test.clj is where it was	completed	0	false
R-02-recovery-require-measured__N__gpt-6-astra	R-02-recovery-require-measured	R	N	gpt-6-astra	pass	red	no	patch	patch	45.44	0	yes	1	0	1	6b222692a4b8	2026-09-12T03:23:02Z	0	10	GREEN: R-02-recovery-require-measured: intent met, and every other byte of test/clj_surgeon/recovery_test.clj is where it was	completed	0	false
R-03-workspace-string-alias__N__gpt-5.6-sol	R-03-workspace-string-alias	R	N	gpt-5.6-sol	pass	green	no	patch	patch	111.03	0	yes	2	1	1	09c372c4f7c2	2026-09-12T03:44:38Z	0	18	GREEN: R-03-workspace-string-alias: intent met, and every other byte of test/clj_surgeon/mcp_workspace_test.clj is where it was	completed	0	false
R-03-workspace-string-alias__N__gpt-6-astra	R-03-workspace-string-alias	R	N	gpt-6-astra	pass	green	no	patch	patch	95.93	0	yes	2	1	1	09c372c4f7c2	2026-09-12T03:31:05Z	0	13	GREEN: R-03-workspace-string-alias: intent met, and every other byte of test/clj_surgeon/mcp_workspace_test.clj is where it was	completed	0	false
R-04-namespace-split-require-cheshire__N__gpt-5.6-sol	R-04-namespace-split-require-cheshire	R	N	gpt-5.6-sol	pass	red	no	patch	patch	119.85	0	yes	1	0	1	1ec57dbb2d1d	2026-09-12T03:37:39Z	0	17	GREEN: R-04-namespace-split-require-cheshire: intent met, and every other byte of src/clj_surgeon/namespace_split.clj is where it was	completed	0	false
R-04-namespace-split-require-cheshire__N__gpt-6-astra	R-04-namespace-split-require-cheshire	R	N	gpt-6-astra	pass	red	no	patch	patch	56.98	0	yes	1	0	1	1ec57dbb2d1d	2026-09-12T03:21:39Z	0	9	GREEN: R-04-namespace-split-require-cheshire: intent met, and every other byte of src/clj_surgeon/namespace_split.clj is where it was	completed	0	false
T-01-outline-memory-spec-marker__N__gpt-5.6-sol	T-01-outline-memory-spec-marker	T	N	gpt-5.6-sol	pass	red	no	patch	patch	55.43	0	yes	1	0	1	eadf10fec412	2026-09-12T03:21:36Z	0	9	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0	false
T-01-outline-memory-spec-marker__N__gpt-6-astra	T-01-outline-memory-spec-marker	T	N	gpt-6-astra	pass	red	no	patch	patch	69.95	0	yes	1	0	1	eadf10fec412	2026-09-12T03:25:55Z	0	10	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0	false
T-02-study-row-line-range__N__gpt-5.6-sol	T-02-study-row-line-range	T	N	gpt-5.6-sol	fail	red	no	patch	patch	149.12	0	yes	1	1	1	23861ebba655	2026-09-12T03:39:50Z	0	10	RED: 1 failed assertion(s)	completed	0	false
T-02-study-row-line-range__N__gpt-6-astra	T-02-study-row-line-range	T	N	gpt-6-astra	pass	red	no	patch	patch	123.51	0	yes	1	1	1	2ed355f26f19	2026-09-12T03:39:02Z	0	14	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0	false
T-03-alias-migration-kind-count__N__gpt-5.6-sol	T-03-alias-migration-kind-count	T	N	gpt-5.6-sol	pass	red	no	patch	patch	109.49	0	yes	5	2	1	898a17dc0fb2	2026-09-12T03:46:31Z	0	14	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0	false
T-03-alias-migration-kind-count__N__gpt-6-astra	T-03-alias-migration-kind-count	T	N	gpt-6-astra	pass	red	no	patch	patch	103.37	0	yes	5	2	1	005f3179077f	2026-09-12T03:18:09Z	0	15	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0	false
T-04-lane-manifest-total__N__gpt-5.6-sol	T-04-lane-manifest-total	T	N	gpt-5.6-sol	pass	red	no	patch	patch	99.27	0	yes	5	1	1	73de2c679520	2026-09-12T03:27:33Z	0	10	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0	false
T-04-lane-manifest-total__N__gpt-6-astra	T-04-lane-manifest-total	T	N	gpt-6-astra	pass	red	no	patch	patch	133.08	0	yes	5	1	1	23195fda5192	2026-09-12T03:35:18Z	0	21	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0	false
example-R-e4__N__gpt-5.6-sol	example-R-e4	R	N	gpt-5.6-sol	pass	red	no	patch	patch	26.51	0	yes	3	17	2	02332a74caf1	2026-09-12T03:32:50Z	0	6	PASS (12 checks)	completed	0	false
example-R-e4__N__gpt-6-astra	example-R-e4	R	N	gpt-6-astra	pass	red	no	patch	patch	45.89	0	yes	3	17	2	02332a74caf1	2026-09-12T03:23:14Z	0	7	PASS (12 checks)	completed	0	false
