id	date	ordinal	task_family	task	model	route	candidate_commit	surgeon_seconds	native_seconds	speedup	surgeon_n	native_n	correctness	byte_exact	evidence_source	evidence_commit	caveat
read-named-20260804	2026-08-04	1	read-search	named-form read	gpt-5.6-sol/medium	current CLI structural route	477dca9	22.709	23.949	1.055	4	4	both 4/4 correct	both 4/4 exact	docs/observations/2026-08-04-captains-log-one-read-surface.md	8917146	Current tied native within 1.24 seconds.
read-semantic-20260804	2026-08-04	2	read-search	semantic form read	gpt-5.6-sol/medium	current CLI structural route	477dca9	28.384	27.347	0.963	4	4	both 4/4 correct	both 4/4 exact	docs/observations/2026-08-04-captains-log-one-read-surface.md	8917146	Native was 1.037 seconds faster.
search-structural-20260804	2026-08-04	3	read-search	structural search	gpt-5.6-sol/medium	current CLI structural route	477dca9	24.222	40.627	1.677	4	4	both 4/4 structurally correct	Surgeon 2/4; native 3/4 exact presentation	docs/observations/2026-08-04-captains-log-one-read-surface.md	8917146	Presentation exactness was weaker than semantic correctness.
batch-cli-20260806	2026-08-06	4	batch-edit	six exact edits in two files	gpt-5.6-sol	CLI :change! plus matched skill	unrecorded	46.154	45.777	0.992	1	1	both correct	both exact	docs/observations/2026-08-06-captains-log-a-representative-reroll-turned-the-race-into-a-tie.md	eea6f6d	Corrected Git-backed reroll; effectively tied.
owner-scoped-two-file-20260806	2026-08-06	5	batch-edit	two-file owner-scoped supplied decision	gpt-5.6-sol	CLI scoped transaction	unrecorded	38.600	134.260	3.478	1	1	both correct	accepted source	docs/observations/2026-08-06-captains-log-the-intent-compiler-won-its-first-matched-race.md	eea6f6d	One paired probe; native first patch refused and recovered.
read-batch-mcp-20260807	2026-08-07	6	read-search	five-request four-file structural read portfolio	gpt-5.6-sol	persistent inspect MCP	unrecorded	27.969	51.500	1.841	4	3	Surgeon 4/4; native 3/4 correct	correctness-gated	docs/observations/2026-08-07-captains-log-batched-inspect-missed-the-keep-gate.md	daedfbc	Native median uses three correct runs; the study's primary comparator was CLI, not native.
batch-assisted-mcp-20260807	2026-08-07	7	batch-edit	six exact edits in two files	gpt-5.6-sol	assisted hot MCP	unrecorded	24.530	43.190	1.761	4	4	both 4/4 correct	both 4/4 exact	docs/observations/2026-08-07-captains-log-one-call-crossed-the-double-digit-gate.md	eea6f6d	Task-level routing hint; one MCP call.
prepared-semantic-edit-20260807	2026-08-07	8	semantic-change	return-contract change across callers and tests	gpt-5.6-sol	prepare plus basis apply	unrecorded	31.000	54.130	1.746	1	1	both correct	semantic gate	docs/observations/2026-08-07-captains-log-the-decision-became-a-transaction.md	eea6f6d	One paired probe; final route used two MCP calls.
batch-exact-contract-20260807	2026-08-07	9	batch-edit	six exact edits in two files	gpt-5.6-sol	one-shot MCP after contract guidance	unrecorded	27.976	68.932	2.464	5	4	Surgeon 5/5; native 4/5 valid and correct	byte exact	docs/observations/2026-08-07-captains-log-end-to-end-structural-transaction-timings.md	28f4a11	One native run was excluded by native-isolation guard before editing.
batch-exploratory-20260807	2026-08-07	10	batch-edit	exploratory six-edit task	gpt-5.6-sol	inspect then one MCP transaction	unrecorded	62.876	81.730	1.300	4	4	both 4/4 correct	both exact	docs/observations/2026-08-07-captains-log-end-to-end-structural-transaction-timings.md	28f4a11	Includes discovery rather than a fully supplied decision.
nested-exact-20260807	2026-08-07	11	small-edit	one supplied exact nested edit	gpt-5.6-sol	one-shot MCP	unrecorded	21.595	26.749	1.239	4	4	both 4/4 correct	both 4/4 exact	docs/observations/2026-08-07-captains-log-end-to-end-structural-transaction-timings.md	28f4a11	Hot persistent service; bootstrap excluded symmetrically from task wall.
nested-natural-20260824	2026-08-24	12	small-edit	one supplied exact nested edit	gpt-5.6-sol/high	natural best route	unrecorded	20.665	18.510	0.896	6	6	both 6/6 correct	both 6/6 exact	docs/observations/2026-08-24-captains-log-the-guarded-keystroke-beat-native.md	2cc6524	Native won five of six pairs after one bounded read was allowed.
